Restaurant _Name,Restaurant _Type,Rating,Votes,Avg_Cost (two people),Online_Order,Table_Booking,Cuisines_Type,Area
50-50 EATING HOUSE,Quick Bites,3.2,4,100,No,No,"South Indian, Biryani",Banashankari
52 Wall Street,"Bar, Casual Dining",3.9,737,1400,No,No,"American, Continental, Finger Food","Byresandra,Tavarekere,Madiwala"
55 Wall Street,Bar,3.9,1763,1300,No,Yes,"Finger Food, North Indian, Chinese",Bannerghatta Road
56 Bhoga Sweets,"Takeaway, Delivery",3.6,51,150,No,No,"Mithai, Street Food",HSR
5th Main Cafe,Cafe,3.5,15,250,No,No,"Cafe, Fast Food","Byresandra,Tavarekere,Madiwala"
7 Days Restaurant,Quick Bites,3.8,478,400,Yes,No,"North Indian, Chinese, Arabian",Electronic City
7 Degrees North,Casual Dining,3.5,11,500,No,No,North Indian,HSR
7 Hills Andhra Mess,Mess,3.4,8,300,No,No,Andhra,Indiranagar
7 Plates,Casual Dining,3.5,531,600,Yes,No,"North Indian, Mughlai, Rolls, Fast Food",Kammanahalli
7 Shanghai,Quick Bites,3.5,18,250,Yes,No,Chinese,Electronic City
7 Spice,Quick Bites,3.4,5,250,No,No,"Biryani, Chinese",Kalyan Nagar
7 to 11 Food Court,Quick Bites,3.7,16,200,Yes,No,"Fast Food, Burger, North Indian, South Indian",Frazer Town
70 Brigade - Iris Hotel,Casual Dining,3.9,105,1000,No,Yes,"Chinese, North Indian, Pizza",Brigade Road
7Biryanis,Casual Dining,3.2,4,600,Yes,No,"Andhra, Biryani",Kalyan Nagar
7th Heaven,Bakery,3.6,17,300,No,No,"Bakery, Desserts",New BEL Road
8 Slice,Delivery,3.7,74,600,Yes,No,Pizza,Brigade Road
9 Bowls,Quick Bites,2.8,40,500,Yes,No,"Healthy Food, Continental, North Indian, Chinese",HSR
90's,Quick Bites,2.8,40,200,No,No,North Indian,HSR
90's Beer Cafe - Hotel Millennium Plaza,Bar,3,7,1000,No,No,Finger Food,Electronic City
90's Cafe,Quick Bites,2.8,40,500,No,No,"Fast Food, Burger",Jayanagar
99 Caffe,Quick Bites,3.6,106,250,Yes,No,"South Indian, North Indian, Chinese",Brookefield
99 Pancakes,Dessert Parlor,4.1,41,150,Yes,No,"Desserts, Ice Cream",Brigade Road
99 Variety Dosa & Pav Bhaji,Quick Bites,3.8,16,250,Yes,No,"South Indian, North Indian, Street Food",Koramangala 5th Block
99 Variety Dosa and Pav Bhaji,Quick Bites,4,101,250,Yes,No,"South Indian, North Indian, Street Food","Byresandra,Tavarekere,Madiwala"
99 Variety Dose-Biryanis-Starters,"Takeaway, Delivery",2.8,40,300,Yes,No,"South Indian, North Indian, Fast Food, Chinese",HSR
99Foods,Quick Bites,3.4,32,400,No,No,"Biryani, North Indian, Chinese, Kebab",Marathahalli
9D Foods,Quick Bites,4,458,400,Yes,No,"North Indian, Street Food",Brookefield
9th Cross Cafe,Cafe,3.6,12,550,No,No,"Cafe, Italian, French",Indiranagar
A 1 Pizza and Food,Delivery,2.8,211,300,Yes,No,"Pizza, Chinese, North Indian",Indiranagar
A Bar,Bar,3.3,19,600,No,No,"North Indian, Continental","Byresandra,Tavarekere,Madiwala"
A Hole Lotta Love Cafe,Cafe,4.3,2871,600,Yes,No,"Cafe, American, Burger, Sandwich, Beverages",Koramangala 4th Block
A Little For Love,Bakery,3.4,12,350,No,No,Bakery,Kalyan Nagar
A M Biryani Hotel,Quick Bites,3.3,6,300,Yes,No,"North Indian, Chinese, Biryani, Fast Food",Bannerghatta Road
A Southern Fair,Casual Dining,3,19,750,Yes,No,"Biryani, Seafood, South Indian",Whitefield
A Today Thick Shakes,Beverage Shop,3.2,9,200,No,No,Beverages,Jayanagar
A.M New Punjab Food Corner,Quick Bites,3.5,21,350,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
A1 Ambur Dum Biryani And Parota Centre,Quick Bites,3.2,4,300,No,No,Biryani,Rajajinagar
A1 Biriyani Point,Quick Bites,3,10,200,No,No,Biryani,Malleshwaram
A1 Garam Masala,Casual Dining,3.6,25,500,Yes,No,"North Indian, Andhra, Chinese",JP Nagar
A1 Hot Dum Biryani,Quick Bites,3.2,4,150,No,No,Biryani,Whitefield
