Restaurant _Name,Restaurant _Type,Rating,Votes,Avg_Cost (two people),Online_Order,Table_Booking,Cuisines_Type,Area
Big Mama,Cafe,3.3,6,600,No,No,"Cafe, Continental, Italian",HSR
Big Mishra Pedha,Sweet Shop,2.9,23,250,Yes,No,Mithai,Banashankari
Big Mummy,Quick Bites,3.9,214,400,Yes,No,"Fast Food, Biryani",Indiranagar
Big Pitcher,"Pub, Microbrewery",4.6,9272,1800,No,Yes,"American, Continental, North Indian, Mediterranean",Old Airport Road
Big Straw Blast,Beverage Shop,3.5,6,150,Yes,No,Beverages,New BEL Road
Big Wong XL,Casual Dining,4.5,678,1400,No,Yes,"Chinese, Sushi, Asian, Thai","Byresandra,Tavarekere,Madiwala"
Biggies Burger 'n' More,Cafe,3.8,63,650,Yes,No,"Cafe, Burger, Beverages",Brookefield
Bihar Bhojanalaya,Quick Bites,3.1,14,200,No,No,"North Indian, Bihari",New BEL Road
Bihar Ki Shan,Quick Bites,3.8,347,300,Yes,No,North Indian,HSR
Bikaner Jn,Quick Bites,3.9,85,300,Yes,No,Rajasthani,Bannerghatta Road
Bikaner Sweets,Sweet Shop,3.7,63,150,Yes,No,"Mithai, Street Food",New BEL Road
Bikaneri Sweets,Sweet Shop,3.4,19,250,Yes,No,"Mithai, Street Food",Bannerghatta Road
Billionaires Cafe,Cafe,3.8,47,600,No,No,"Cafe, Italian",Jayanagar
Bindu Garden Bar & Restaurant,Casual Dining,3.1,36,550,Yes,No,"North Indian, Chinese",HSR
BingeJoy!,Kiosk,3.6,16,100,Yes,No,"Biryani, Chinese, Fast Food",Bannerghatta Road
Birbal Darbar,Casual Dining,4.1,317,600,No,No,"North Indian, Chinese, Biryani",Sarjapur Road
Birinz,Casual Dining,4.1,292,700,Yes,No,"Biryani, Chinese, Mughlai, Fast Food, Kebab",Bannerghatta Road
Biriyani & Kabab Corner,Quick Bites,2.8,40,350,No,No,"Biryani, North Indian, Chinese",Marathahalli
Biriyani Adda,Quick Bites,2.8,40,350,Yes,No,"Biryani, Fast Food",HSR
Biriyani Angadi,Quick Bites,3.2,7,200,No,No,Biryani,Bannerghatta Road
Biriyani Bhatti,Quick Bites,3.7,21,400,Yes,No,"Chinese, Hyderabadi, North Indian",Bannerghatta Road
Biriyani Bungalow,Casual Dining,3.1,4,600,Yes,No,"Biryani, North Indian",Bellandur
Biriyani Combo 99,Quick Bites,2.8,40,300,No,No,Biryani,Indiranagar
Biriyani Fest,Delivery,2.8,33,700,Yes,No,"Biryani, North Indian, Chinese",New BEL Road
Biriyani House,Casual Dining,3.6,27,400,Yes,No,Biryani,Bellandur
Biriyani Hub,Delivery,3,30,400,Yes,No,"Fast Food, Biryani, Seafood, South Indian",New BEL Road
Biriyani Mane,Casual Dining,3.7,158,700,Yes,No,"Biryani, Chinese, North Indian",Bannerghatta Road
Biriyani Nights,"Takeaway, Delivery",2.9,119,500,Yes,No,"Biryani, Kebab, Continental",Frazer Town
Biriyani Paradise,Casual Dining,3.5,18,550,No,No,"North Indian, Kerala, Biryani, South Indian",Electronic City
Biriyani Section,Quick Bites,2.8,40,300,Yes,No,"Biryani, North Indian",Brookefield
Biriyani Zone,Casual Dining,3.7,22,800,Yes,No,"Biryani, North Indian, Chinese, Seafood",Old Airport Road
Biriyani's House,Quick Bites,2.8,40,200,Yes,No,"Biryani, North Indian",HSR
Biriyaniz,"Takeaway, Delivery",3.4,301,400,Yes,No,"Biryani, North Indian, Chinese, Andhra","Byresandra,Tavarekere,Madiwala"
Biriyummy,Quick Bites,3.3,6,250,No,No,"Biryani, Kebab",Kalyan Nagar
Biryani & Kabab,Quick Bites,3.2,4,150,No,No,Biryani,Brookefield
Biryani & Kabab Corner,Casual Dining,3.7,32,450,No,No,"North Indian, Chinese, Biryani, Andhra",Marathahalli
Biryani Affair,Delivery,3.5,147,350,Yes,No,Biryani,HSR
Biryani Bar,Delivery,2.8,40,300,Yes,No,Biryani,Brookefield
Biryani Bazar,Quick Bites,3.3,4,250,No,No,Biryani,Indiranagar
Biryani Bowl,Kiosk,3.3,10,550,No,No,"Biryani, Andhra",Whitefield
Biryani Club,Quick Bites,2.9,31,400,No,No,"South Indian, Biryani",Indiranagar
Biryani Darbar,Casual Dining,3.3,12,600,Yes,No,"Biryani, Chinese",Electronic City
Biryani Dawat,Quick Bites,2.8,40,400,No,No,"Biryani, Hyderabadi","Byresandra,Tavarekere,Madiwala"
Biryani Day,Casual Dining,3.7,751,500,Yes,No,"North Indian, Chinese, Biryani, Andhra",Brookefield
Biryani Durbar,"Takeaway, Delivery",3.7,128,400,Yes,No,"Biryani, North Indian",Bannerghatta Road
Biryani Empire,Quick Bites,3,8,400,Yes,No,Biryani,New BEL Road
Biryani Express,Casual Dining,3.7,71,600,Yes,No,"Biryani, North Indian",Whitefield
Biryani Factory,Delivery,2.9,14,400,Yes,No,Biryani,Marathahalli
Biryani Feast,Delivery,2.9,132,600,Yes,No,"Biryani, North Indian, Chinese",Brookefield
Biryani Foodies,Quick Bites,3.1,7,500,Yes,No,"Biryani, Mughlai","Byresandra,Tavarekere,Madiwala"
Biryani House,Casual Dining,3.5,11,600,Yes,No,"Andhra, Biryani, Chinese, North Indian",Bellandur
Biryani Hub,Quick Bites,3.2,87,600,Yes,No,"North Indian, South Indian, Biryani",Kalyan Nagar
Biryani Hut,Quick Bites,3.5,9,300,Yes,No,"North Indian, Biryani",Bellandur
Biryani Joint,Quick Bites,3.3,4,200,No,No,"South Indian, Biryani",Kalyan Nagar
Biryani Junction,Quick Bites,2.3,298,450,Yes,No,"Biryani, North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Biryani Khazana,"Takeaway, Delivery",3,10,600,Yes,No,Biryani,Indiranagar
Biryani Kitchen,Food Court,4.3,627,450,Yes,No,Biryani,Brookefield
Biryani Knights,Delivery,3.6,21,300,No,No,Biryani,"Byresandra,Tavarekere,Madiwala"
Biryani Lakhnawi,Quick Bites,3.6,13,500,No,No,"Lucknowi, Biryani",Brookefield
Biryani Magic,Quick Bites,3.5,31,300,Yes,No,"North Indian, Biryani",Bannerghatta Road
Biryani Mandra,"Takeaway, Delivery",3.8,70,500,Yes,No,"Seafood, Salad, North Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala"
Biryani Mane,Quick Bites,3.6,66,600,Yes,No,"North Indian, Biryani",Marathahalli
Biryani Miya,Delivery,2.9,15,600,Yes,No,"Biryani, North Indian",Marathahalli
Biryani Nights,Quick Bites,3.5,20,400,Yes,No,"South Indian, North Indian, Chinese",Jayanagar
Biryani Palace,Casual Dining,3.6,37,750,Yes,No,"Biryani, North Indian, Chinese",Kalyan Nagar
Biryani Paradise,Casual Dining,3.8,131,700,Yes,No,"Andhra, Biryani",Brookefield
Biryani Park,Casual Dining,3.4,85,500,Yes,No,"North Indian, Biryani, Chinese, Mughlai",Marathahalli
Biryani Point,Quick Bites,3.2,7,250,No,No,Biryani,"Byresandra,Tavarekere,Madiwala"
Biryani Pot,Casual Dining,3.8,1071,500,Yes,No,Biryani,"Byresandra,Tavarekere,Madiwala"
Biryani Rooh-e-Khaas,Delivery,2.8,40,500,Yes,No,"Biryani, Mughlai",HSR
Biryani Royals Garden,Quick Bites,2.8,40,500,Yes,No,"North Indian, Biryani, Mughlai",Banashankari
Biryani Spot,Quick Bites,3.5,9,300,Yes,No,"South Indian, Biryani","Byresandra,Tavarekere,Madiwala"
Biryani Times,Quick Bites,3.5,16,300,No,No,Biryani,Bannerghatta Road
Biryani Treat,Quick Bites,2.8,40,400,No,No,Biryani,Malleshwaram
Biryani Treats,Delivery,2.5,105,650,No,No,Biryani,New BEL Road
Biryani Trip,Delivery,2.8,40,400,Yes,No,Biryani,Brigade Road
Biryani@Bangalore,"Takeaway, Delivery",2.9,86,300,No,No,"Biryani, Chinese, South Indian",Brookefield
Biryanis And More,Casual Dining,4,618,750,Yes,No,"Biryani, North Indian, Chinese, Andhra, South Indian",Banashankari
Bisi Thindi,Quick Bites,2.8,40,150,Yes,No,South Indian,Frazer Town
Bisimillah Biriyani,Quick Bites,3.5,11,300,No,No,"Biryani, Fast Food","Byresandra,Tavarekere,Madiwala"
Bisimillah Biriyani's & Kebab's,Quick Bites,3.3,6,300,No,No,"Biryani, Fast Food","Byresandra,Tavarekere,Madiwala"
Bismilla Kabab & Biryani Centre,Quick Bites,3.2,4,300,No,No,"North Indian, Chinese",Kalyan Nagar
Bismilla Vaniyambadi Biriyani,Quick Bites,2.8,40,200,No,No,"Biryani, North Indian",Indiranagar
Bismillah Ambur Biryani,Quick Bites,3.1,7,150,No,No,Biryani,MG Road
Bismillah Bawarchi,Quick Bites,3.6,42,300,Yes,No,"North Indian, Chinese, Biryani",Brookefield
BISO - Citrus Hotels,Casual Dining,3,120,1000,No,No,"North Indian, Italian, Chinese, Asian",Bellandur
Bistro Claytopia,Cafe,4.1,1845,600,Yes,Yes,"Cafe, American, Italian, Burger","Byresandra,Tavarekere,Madiwala"
Bistro Oui,"Cafe, Bar",4.1,400,1200,Yes,Yes,"Cafe, Continental, Salad, Steak","Byresandra,Tavarekere,Madiwala"
Biswal's Food Circle,Quick Bites,2.8,40,350,No,No,"Chinese, North Indian",Kammanahalli
Bite and Pipes,Casual Dining,3.5,13,500,No,No,"Continental, Chinese",Kalyan Nagar
Bite Me Cupcakes,Dessert Parlor,4.1,189,300,Yes,No,Desserts,"Byresandra,Tavarekere,Madiwala"
Bite Sip Repeat,Quick Bites,3.4,6,150,No,No,"Fast Food, South Indian, North Indian",Electronic City
BITEBOX,Quick Bites,4.4,150,300,Yes,No,"North Indian, Chinese, Fast Food, Beverages, Desserts",Brookefield
Bites 2 Binge,Casual Dining,3.7,19,750,Yes,No,North Indian,Indiranagar
Bitez,Quick Bites,2.8,40,100,No,No,Fast Food,Banashankari
Biting Junction,Quick Bites,3.9,119,350,Yes,No,"Chinese, North Indian, Rajasthani, Gujarati, Fast Food, Afghan",Whitefield
Black Cup Cafe,Cafe,3.6,19,400,Yes,No,"Cafe, Fast Food, Beverages","Byresandra,Tavarekere,Madiwala"
Black Deer,"Takeaway, Delivery",4.4,149,0,No,No,"Beverages, Ice Cream, Desserts","Byresandra,Tavarekere,Madiwala"
Black Jack,Bar,3.7,318,1400,No,No,"North Indian, Chinese",New BEL Road
Black Kitchen,Casual Dining,3.7,25,400,Yes,No,"Kerala, South Indian","Byresandra,Tavarekere,Madiwala"
Black Mug Cafe,Cafe,3.7,171,300,Yes,No,Cafe,Bannerghatta Road
Black Pagoda,Quick Bites,2.9,11,300,No,No,"North Indian, South Indian, Chinese",Whitefield
Black Pepper Lounge - Case de Bengaluru,Lounge,3.7,81,1200,No,Yes,Finger Food,Koramangala 4th Block
Black Rock Cafe,Cafe,3.5,22,500,No,No,Cafe,Marathahalli
Blend - Royal Orchid Suites,Casual Dining,3.4,16,1300,No,No,"Chinese, North Indian",Whitefield
Blends Juice Cafe,Quick Bites,0,40,200,No,No,"Beverages, Desserts",Koramangala 6th Block
Bling - The Zuri,Lounge,3.7,228,2100,No,No,"Continental, North Indian",Whitefield
Blistering Barnacles,Pub,3.9,1214,1200,No,Yes,"Chinese, Continental, American, Steak",Indiranagar
Blk Plus Wht,"Casual Dining, Cafe",4.3,112,800,No,No,"Asian, Thai, North Indian",HSR
Bloomsbury's Global Kitchen & Bakehouse,"Cafe, Dessert Parlor",4.5,733,900,Yes,Yes,"American, Cafe, Continental, French, Burger, Mexican, Desserts, Pizza",Brookefield
BLOW,Cafe,4.2,935,750,Yes,Yes,"Cafe, Continental, American, Burger",Brigade Road
Blu Dale Fast Food,Quick Bites,3.3,7,250,No,No,"Chinese, North Indian, Andhra, Seafood",Koramangala 4th Block
Blu Oyster,Casual Dining,2.8,40,1500,No,Yes,"Seafood, Continental, European, Mediterranean",Indiranagar
Blue Bar - The Taj West End,Lounge,4,113,2500,No,Yes,Continental,Church Street
Blue Berry Restaurant,Casual Dining,2.9,17,600,No,No,"North Indian, Kerala, Chinese",Bannerghatta Road
Blue Ginger - The Taj West End,Fine Dining,4.4,514,3200,No,Yes,Vietnamese,Church Street
Blue Heaven Bar And Restaurant,Bar,3.2,6,750,No,No,"Chinese, North Indian",Lavelle Road
Blue Terrain - Novotel,Fine Dining,4.2,505,2000,No,Yes,"Spanish, Italian, Mediterranean",Bellandur
Blue Tokai Coffee Roasters,Cafe,2.8,40,400,Yes,No,"Cafe, Coffee","Byresandra,Tavarekere,Madiwala"
Blue Wings Bar & Restaurant,"Bar, Casual Dining",3.7,43,700,No,No,"North Indian, Chinese",Banashankari
Blueberry Restaurant,Quick Bites,3.5,48,400,Yes,No,"North Indian, Biryani, South Indian",Sarjapur Road
BluO,Lounge,4.1,401,1500,No,Yes,"Continental, North Indian",Malleshwaram
Blytons,Bar,2.8,40,1500,No,No,Bar Food,JP Nagar
BMG Hotel,Quick Bites,2.8,40,200,No,No,"South Indian, North Indian",Electronic City
BMR Hyderabad Biryani,"Takeaway, Delivery",3.6,24,400,Yes,No,Biryani,Bannerghatta Road
Bobacha,Beverage Shop,4.1,74,300,Yes,No,"Beverages, Bubble Tea, Tea",Brookefield
Bob's Bar,"Bar, Casual Dining",2.8,40,1000,No,No,"South Indian, Finger Food","Byresandra,Tavarekere,Madiwala"
Bob's Restaurant,Quick Bites,4,330,500,Yes,No,"North Indian, Chinese",Indiranagar
Body Temple,Quick Bites,3.3,12,500,Yes,No,Healthy Food,"Byresandra,Tavarekere,Madiwala"
Boho,Casual Dining,4.2,1721,1200,No,Yes,"Continental, Asian, American, North Indian, Desserts","Byresandra,Tavarekere,Madiwala"
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Quick Bites,3.5,49,300,Yes,No,Bohri,Jayanagar
Bold,"Bar, Casual Dining",3.9,866,1500,No,Yes,"Modern Indian, Continental, North Indian",Marathahalli
Bollywood Grill,Casual Dining,3.4,5,1500,No,No,North Indian,Electronic City
Bologna,Casual Dining,4.5,717,1000,No,Yes,Italian,Indiranagar
Bombay Adda,"Casual Dining, Bar",4.4,2355,1100,No,Yes,Modern Indian,Koramangala 4th Block
Bombay Brasserie,Casual Dining,4.3,555,1800,Yes,No,Modern Indian,Bellandur
Bombay Chowpaty Kulfi,Dessert Parlor,3.7,40,250,No,No,"Ice Cream, Desserts",Kalyan Nagar
Bombay Food Express,Quick Bites,3.7,18,250,No,No,"Street Food, Fast Food",Brigade Road
Bombay Kulfi,Dessert Parlor,3.4,33,150,Yes,No,"Desserts, Ice Cream",Sarjapur Road
Bombay Kulfis,Dessert Parlor,3.3,4,200,No,No,Ice Cream,Indiranagar
Bombay Sandwich Company,Delivery,3,40,400,Yes,No,"Sandwich, Beverages",Old Airport Road
Bombay Talkies,Quick Bites,3.6,24,200,Yes,No,"Maharashtrian, Fast Food, Street Food, Sandwich",Koramangala 7th Block
Bombay Vada Pav Corner,Quick Bites,4.1,84,150,Yes,No,Street Food,Rajajinagar
Bon Appetit Resto,Delivery,3.8,50,300,Yes,No,"North Indian, Chinese",Malleshwaram
Bon Baker,Delivery,3.7,19,1000,No,No,Desserts,Marathahalli
Bon Sante,Cafe,3.6,104,800,No,No,"Cafe, Continental, Italian",Church Street
Bonbonbite,Bakery,3.5,10,450,No,No,"Bakery, Desserts",New BEL Road
Bonfooder,Delivery,3.8,36,400,Yes,No,North Indian,Sarjapur Road
Bong Connections,Quick Bites,2.8,40,300,No,No,"Chinese, North Indian",Brookefield
BongHomie,"Takeaway, Delivery",3.4,10,300,No,No,"Bengali, North Indian","Byresandra,Tavarekere,Madiwala"
Bonsouth,Casual Dining,4.2,2616,1300,Yes,Yes,"Chettinad, Andhra, Kerala","Byresandra,Tavarekere,Madiwala"
Bonum cibum,Casual Dining,4.5,181,1200,Yes,No,"Lebanese, Turkish","Byresandra,Tavarekere,Madiwala"
Book My Cakes,Bakery,3.3,4,300,Yes,No,Bakery,Indiranagar
Boondock Bistro,"Casual Dining, Cafe",3.9,1636,900,Yes,Yes,"Steak, Continental, American, Italian, Salad, Cafe",Whitefield
Bootlegger,Lounge,4,601,1800,No,Yes,"Continental, Steak",Indiranagar
Boozers Bar & Kitchen,"Bar, Casual Dining",4.3,700,0,No,No,"Continental, Burger, Italian, Pizza, North Indian, Chinese, Finger Food",Indiranagar
Borah's Kitchen,Quick Bites,3.3,12,250,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Boston Barista - Kappayum Curriyum,Quick Bites,3.6,64,350,Yes,No,Kerala,Jayanagar
Bottle & Glass,"Bar, Casual Dining",4,973,1400,No,Yes,"Continental, Chinese, Italian",Indiranagar
Bottle Breacher,"Casual Dining, Pub",4.1,1187,1200,No,Yes,"Italian, Continental",Bannerghatta Road
Bottoms Up Resto Bar,Bar,3.9,248,1200,No,No,"Finger Food, Italian, Continental",Kammanahalli
Bowl House Kitchen,"Takeaway, Delivery",2.8,40,400,Yes,No,"North Indian, Biryani, Asian",Electronic City
Bowl N Biryani,Quick Bites,3.3,24,500,Yes,No,"Biryani, North Indian, Chinese",Whitefield
Bowl'd over Rice,"Takeaway, Delivery",2.8,40,300,Yes,No,North Indian,Old Airport Road
Bowlful,"Takeaway, Delivery",3.6,12,500,Yes,No,North Indian,Indiranagar
Bowls & Combos Co.,Delivery,2.8,40,300,No,No,"Chinese, Thai, North Indian",Indiranagar
Bowring Kulfi,Dessert Parlor,4,40,150,No,No,"Ice Cream, Desserts",Brigade Road
Box Magic,Quick Bites,3.6,21,400,Yes,No,"North Indian, South Indian, Seafood, Rolls",Bannerghatta Road
Box of Biryani,Delivery,3.5,9,400,No,No,"Biryani, North Indian, Kebab",Koramangala 4th Block
BOX8- Desi Meals,Delivery,4.3,248,500,Yes,No,"North Indian, Mughlai, Fast Food",Jayanagar
Boxes And Combos,Quick Bites,2.8,40,500,No,No,"North Indian, South Indian",Brookefield
Bozo's Yum Yums,"Takeaway, Delivery",4,90,650,Yes,No,"Fast Food, Burger, American",Brigade Road
BR Military Hotel,Quick Bites,3.1,6,300,No,No,North Indian,MG Road
Brahma Brews,"Microbrewery, Casual Dining",2.8,40,1400,No,Yes,"Continental, South Indian, Finger Food, Pizza, Seafood",Bannerghatta Road
Brahmin Cafe,Quick Bites,3.8,19,150,No,No,South Indian,Banashankari
Brahmin Tiffins & Coffee,Quick Bites,0,40,100,No,No,"South Indian, Beverages",Basavanagudi
Brahmin's Coffee Bar,Quick Bites,3.9,282,250,No,No,South Indian,Malleshwaram
Brahmins Food Corner,Quick Bites,3.7,95,400,Yes,No,"South Indian, North Indian, Chinese",New BEL Road
Brahmins' Thatte Idli,Quick Bites,3.9,126,100,Yes,No,South Indian,Rajajinagar
Bramhin Tiffins,Quick Bites,3.6,12,150,No,No,South Indian,JP Nagar
Brea,Bakery,3.4,34,300,Yes,No,"Bakery, Fast Food",Old Airport Road
Bread and Circus,Cafe,3.7,50,550,No,No,"Cafe, Fast Food, Pizza, Burger",Lavelle Road
Bread Crumbs Bakery,Bakery,4,164,250,No,No,"Desserts, Bakery",Bannerghatta Road
Breads and Banter,"Cafe, Bakery",4.2,65,400,No,Yes,"Cafe, Bakery, Fast Food",Brookefield
Breadworks,"Bakery, Cafe",2.9,48,500,Yes,No,"Bakery, Cafe",Indiranagar
Break Hour,Quick Bites,4,96,150,Yes,No,"Chinese, Beverages",Malleshwaram
Breakfast House,Quick Bites,3.6,49,300,No,No,"South Indian, North Indian",Brookefield
Breakstation,Quick Bites,2.8,40,200,No,No,Fast Food,Old Airport Road
Breaktime Brew,Cafe,3.7,24,550,Yes,No,Cafe,"Byresandra,Tavarekere,Madiwala"
Breezes - Hotel Pigeon International,Casual Dining,3.5,23,900,No,No,"North Indian, Continental",Old Airport Road
Breezy Cow Bar,Beverage Shop,3.8,25,400,Yes,No,Beverages,Marathahalli
Brew and Barbeque - A Microbrewery Pub,"Microbrewery, Pub",4.6,5894,1400,Yes,Yes,"Continental, North Indian, BBQ, Steak",Marathahalli
Brew Bakes,Cafe,3.4,13,550,No,No,"Cafe, Continental, Italian",Basavanagudi
Brew Bakes Cafe,Cafe,3.7,45,600,Yes,No,"Cafe, Beverages",Rajajinagar
Brew Cafe,Quick Bites,3.2,4,300,No,No,Fast Food,"Byresandra,Tavarekere,Madiwala"
Brew Meister,"Microbrewery, Casual Dining",4.1,970,1500,Yes,Yes,"North Indian, Continental, Finger Food, American, Asian",Banashankari
Brew Point,Cafe,3.6,10,500,Yes,No,"Cafe, American, Burger, Sandwich, Fast Food",Bannerghatta Road
Brewbakes,Cafe,3.3,7,450,No,No,"Cafe, Pizza, Italian, Sandwich",New BEL Road
Brewklyn Microbrewery,"Microbrewery, Casual Dining",4.4,2329,1400,Yes,Yes,"American, South Indian, Thai, Pizza, Italian",Kalyan Nagar
Brews N Bites,"Quick Bites, Cafe",2.7,48,650,Yes,No,"Chinese, Fast Food, Cafe, Street Food, Finger Food",Bannerghatta Road
Brewsky,Microbrewery,4.3,4321,1600,Yes,Yes,"Continental, American",Jayanagar
Brewz Coffee,Cafe,3,61,650,Yes,No,Cafe,Bannerghatta Road
Bricklane,Casual Dining,4.2,1633,1500,No,Yes,"Italian, Mediterranean, Pizza",Indiranagar
Bridgeway,Casual Dining,3.8,94,550,No,No,"North Indian, Chinese",Banashankari
Brik Oven,Cafe,2.8,40,1100,No,No,"Cafe, Pizza, Beverages",Indiranagar
Brilram's Balaji Bhavan,Casual Dining,3.9,141,700,No,No,"South Indian, North Indian, Chinese",Whitefield
Brimstone Cafe,"Cafe, Casual Dining",4,387,1300,Yes,Yes,"Cafe, Continental, Salad, Italian",Bellandur
Brindavan Veg,Quick Bites,3.7,20,350,Yes,No,"South Indian, North Indian, Chinese, Street Food",Kalyan Nagar
Broadway - The Gourmet Theatre,Casual Dining,4.2,1142,1800,Yes,Yes,"Japanese, North Indian, Italian, Korean, Mexican, Thai",Bellandur
Brooks 37,"Casual Dining, Bar",4.1,237,1000,Yes,Yes,"North Indian, Continental, Asian, Pizza",Brookefield
Brooks and Bonds Brewery,"Casual Dining, Microbrewery",4.4,3870,1600,Yes,Yes,"Continental, Mediterranean, North Indian, Chinese, Finger Food","Byresandra,Tavarekere,Madiwala"
Brother?s Bar & Kitchen,Casual Dining,3.4,5,1000,No,No,"Chinese, North Indian","Byresandra,Tavarekere,Madiwala"
BrotherÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂs Bar & Kitchen,Casual Dining,3.4,5,1000,No,No,"Chinese, North Indian",Koramangala 6th Block
Brown Crust Cafe,Cafe,2.9,18,300,No,No,"Cafe, Italian, Desserts",Indiranagar
Brownie Heaven,Dessert Parlor,3.9,16,300,Yes,No,Desserts,Brigade Road
Brownie Points,Bakery,3.8,25,300,Yes,No,"Bakery, Desserts","Byresandra,Tavarekere,Madiwala"
Brunch & Munch - Hotel Millennium Plaza,Casual Dining,3.5,23,1200,No,No,"North Indian, Chinese, Mangalorean, Andhra",Electronic City
Bruncherz,Quick Bites,3.5,15,200,No,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Brunchilly,Casual Dining,4,213,1300,No,Yes,"North Indian, Continental",Marathahalli
Brundhavana Food Point,Quick Bites,4,191,300,Yes,No,"South Indian, North Indian, Chinese, Street Food, Beverages",Banashankari
Brundhavana Pure Veg,Casual Dining,3.7,98,500,Yes,No,"South Indian, North Indian, Chinese, Beverages",Bannerghatta Road
BTDT? Been There Done That,"Bar, Casual Dining",4.3,879,1300,No,Yes,"European, Continental, Asian, Finger Food",Indiranagar
BTM,Casual Dining,2.8,40,400,No,No,"North Indian, South Indian","Byresandra,Tavarekere,Madiwala"
BTM Bawarchi Biryani,"Takeaway, Delivery",3.5,132,600,Yes,No,"Biryani, North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
BTM Cakes,Bakery,3.3,8,400,Yes,No,"Bakery, Desserts",Bannerghatta Road
BTM Ghar ka Khana,Quick Bites,3.7,126,200,No,No,North Indian,"Byresandra,Tavarekere,Madiwala"
B'Town Cafe & Restaurant,Food Court,3.5,8,350,No,No,"Arabian, Continental",Bellandur
Bubble Bee,Dessert Parlor,3.9,45,400,Yes,No,"Beverages, Bubble Tea, Desserts","Byresandra,Tavarekere,Madiwala"
Bubbles,Cafe,3.7,21,450,No,No,"Cafe, Fast Food, Beverages",MG Road
Bubblewrap Waffle Co.,Dessert Parlor,4.4,356,400,Yes,No,"Desserts, Beverages",Basavanagudi
Bucket Biriyani,Quick Bites,3.5,14,600,No,No,"Biryani, North Indian, Chinese",Kalyan Nagar
Buddha Treats,Casual Dining,4.2,351,600,Yes,No,"Chinese, Thai",Brookefield
Budget Food,Casual Dining,3.5,42,700,No,Yes,"North Indian, Biryani",Old Airport Road
Buff Buffet Buff,"Casual Dining, Bar",4.5,3125,1500,Yes,Yes,"North Indian, Chinese, Continental, Thai, Salad","Byresandra,Tavarekere,Madiwala"
Bufferia,"Casual Dining, Bar",4,345,1500,No,Yes,"Asian, Continental, European, Mediterranean",Brookefield
Bufferia Express,Delivery,3.4,18,800,Yes,No,"North Indian, Chinese",Brookefield
Bullet Biryani,"Takeaway, Delivery",3.2,9,300,Yes,No,Biryani,"Byresandra,Tavarekere,Madiwala"
Bulls N Bears - Bar Trade Xchange,"Pub, Bar",3.8,155,1000,No,Yes,"Finger Food, North Indian, Continental, Pizza",Koramangala 7th Block
Bun Maska Chai,Quick Bites,3.9,120,250,Yes,No,"Street Food, Fast Food",Indiranagar
Bun Town,Cafe,3.8,22,500,Yes,No,"Cafe, Bakery","Byresandra,Tavarekere,Madiwala"
Bun World,Bakery,3.9,132,250,No,No,"Bakery, Fast Food",Malleshwaram
Bundar,Cafe,4.1,2448,700,No,No,"Cafe, Burger, Fast Food, Desserts",Koramangala 4th Block
Bunker Restaurant,Quick Bites,3.7,29,300,No,No,"North Indian, South Indian, Fast Food, Momos",Sarjapur Road
Bunny Bakers,Bakery,3.6,31,250,No,No,"Bakery, Fast Food","Byresandra,Tavarekere,Madiwala"
Bunt's Biriyani Palace,Quick Bites,3,213,400,Yes,No,"North Indian, South Indian, Chinese, Biryani, Seafood",Banashankari
Bunty's Belly,Cafe,2.8,40,300,No,No,"Cafe, Beverages, Rolls, Sandwich",Kalyan Nagar
Burger Bite House,Quick Bites,2.6,39,400,Yes,No,"Burger, Fast Food, Desserts",Marathahalli
Burger Crush,Delivery,3.2,4,500,No,No,Fast Food,Bellandur
Burger Garden,Delivery,3.4,7,300,Yes,No,"Fast Food, Burger, Desserts, Cafe","Byresandra,Tavarekere,Madiwala"
Burger King,Food Court,3.5,21,600,No,No,"Burger, Fast Food, Beverages",Bellandur
Burger Lounge,Quick Bites,3,72,600,Yes,No,"Burger, Fast Food, Beverages","Byresandra,Tavarekere,Madiwala"
Burger Man,Quick Bites,3.4,19,300,Yes,No,"Burger, Fast Food",New BEL Road
Burger Mania,Quick Bites,2.8,40,400,Yes,No,"Burger, Sandwich, Fast Food",HSR
Burgundy - Royal Orchid Suites,Casual Dining,3.9,104,1200,No,Yes,North Indian,Whitefield
Burj Hotel,Quick Bites,3.4,54,350,Yes,No,"North Indian, Chinese",Bannerghatta Road
Burma Burma,Casual Dining,4.7,1594,1500,Yes,No,"Asian, Burmese",Indiranagar
Burp,Cafe,4,605,800,Yes,Yes,"Cafe, Mexican, Italian, Pizza",Malleshwaram
Burrito Boys,Food Court,2.7,39,330,No,No,"Mexican, Tex-Mex",Bellandur
Butter Cup,Dessert Parlor,3.5,9,250,No,No,"Desserts, Bakery",Jayanagar
Butter Side Up,Dessert Parlor,4.1,111,600,Yes,No,"Desserts, Bakery",Bellandur
Buttercup Bakes,Bakery,3.6,12,500,No,No,"Bakery, Desserts",Malleshwaram
